candidate_number	evidence_id	family	item	construct	status	source_authority	source_or_metric	source_url_or_repo_artifact	current_local_asset	coverage_denominator	existing_requirement_ids	existing_sp_routes	evidence_role	independence_or_double_count_risk	known_bias_or_confounding	validation_needed	next_action	implementation_status	decision_use_status	direct_numeric_promotion_allowed
36	SP103-EV-036	human_context	rating-opinion / community evidence separate from physical claims	appraisal_opinion_context	IMPLEMENTED_INCOMPLETE	community normalized/QA assets	rating-opinion / community evidence separate from physical claims	[]	data/normalized/speed_2026_sns_consensus_sources_v2.json;outputs/derived/speed_community_v3_consensus_20260815.json;outputs/derived/speed_community_v3_youtube_semantic_classified_20260814.jsonl	"{""source_bytes"": 11330816}"	"[""SR-015"", ""SR-019"", ""SR-020"", ""SR-022""]"	"[""SP-032"", ""SP-036"", ""SP-037""]"	opinion/context only	multiple opinions from same origin can be duplicated	game-rating opinion and physical observation are semantically different	store claim type and origin cluster; no comment-only high-confidence physical point	SEMANTICALLY_SEPARATED_OPINION_CONTEXT	IMPLEMENTED_INCOMPLETE	"[""data/normalized/speed_2026_sns_consensus_sources_v2.json"", ""outputs/derived/speed_community_v3_consensus_20260815.json"", ""outputs/derived/speed_community_v3_youtube_semantic_classified_20260814.jsonl""]"	False
37	SP103-EV-037	human_context	injury / recovery	temporal_physical_context	IMPLEMENTED_INCOMPLETE	SP-101 contextual state and local reports	injury / recovery	[]	outputs/derived/sp101_current100_multibridge_evidence.json;docs/state/speed_requirements_baseline_20260813.tsv	"{""current100"": 100, ""state_field"": ""contextual_evidence_summary.injury_state""}"	"[""SR-030"", ""SR-031"", ""SR-040"", ""SR-054""]"	"[""SP-101"", ""MB-11""]"	temporal/context modifier	injury observations may be repeated across reports and season panels	missingness and return-to-play timing limit causal interpretation	preserve available/missing states and never fabricate recovery timing	BOUNDED_TEMPORAL_CONTEXT	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp101_current100_multibridge_evidence.json""]"	False
38	SP103-EV-038	human_context	age and longitudinal physical decline	temporal_physical_context	IMPLEMENTED_INCOMPLETE	SP-101 transition/temporal panel	age and longitudinal physical decline	[]	outputs/derived/sp101_current100_multibridge_evidence.json;outputs/derived/sp101_npb_mlb_transition_segments.csv	"{""current100"": 100, ""transition_rows"": 80}"	"[""SR-005"", ""SR-006"", ""SR-030"", ""SR-040"", ""SR-054""]"	"[""SP-101"", ""MB-11""]"	temporal/context modifier	age is shared across all longitudinal player records	age curves can import next-year or future information into current-year appraisal	current-year-first, explicit time gap and forward holdout	BOUNDED_TEMPORAL_CONTEXT_NO_AUTOMATIC_CARRYOVER	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp101_npb_mlb_transition_segments.csv""]"	False
39	SP103-EV-039	human_context	explicit player-vs-player faster/slower claims with supported endpoints	pairwise_directional_context	IMPLEMENTED_INCOMPLETE	SP-101 typed pairwise graph and existing source inventory	explicit player-vs-player faster/slower claims with supported endpoints	[]	outputs/derived/sp101_pairwise_ordinal_graph.json;outputs/derived/sp101_current100_multibridge_evidence.json	"{""current100"": 100, ""route"": ""MB-07""}"	"[""SR-032"", ""SR-033"", ""SR-055"", ""SR-058""]"	"[""SP-101"", ""MB-07""]"	ordinal constraint/context	same source/event can create dependent comparisons	unsupported endpoint or generic comparison cannot establish signed relation	require supported endpoints, typed edge, uncertainty and no fabricated partner	SP101_TYPED_GRAPH_BOUNDED	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp101_pairwise_ordinal_graph.json""]"	False
40	SP103-EV-040	human_context	generic fast/slow labels	weak_directional_context	IMPLEMENTED_INCOMPLETE	community/source semantic inventories	generic fast/slow labels	[]	data/normalized/speed_2026_sns_consensus_sources_v2.json;outputs/derived/speed_community_v3_consensus_20260815.json;outputs/derived/speed_community_v3_youtube_semantic_classified_20260814.jsonl	"{""source_bytes"": 11330816}"	"[""SR-019"", ""SR-020"", ""SR-055"", ""SR-058""]"	"[""SP-032"", ""SP-037"", ""MB-14""]"	weak directional evidence	generic label may be repeated or refer to technique rather than physical speed	no metric, protocol or endpoint; high uncertainty	retain as low-confidence direction with origin cap; no numeric point	WEAK_DIRECTIONAL_NO_ZEROING	IMPLEMENTED_INCOMPLETE	"[""data/normalized/speed_2026_sns_consensus_sources_v2.json"", ""outputs/derived/speed_community_v3_consensus_20260815.json"", ""outputs/derived/speed_community_v3_youtube_semantic_classified_20260814.jsonl""]"	False
41	SP103-EV-041	defensive_context	RngR / UZR / UZR_1200 / UZR_200 / range_runs	defensive_range_context	IMPLEMENTED_INCOMPLETE	local Baseball Monster range assets	RngR / UZR / UZR_1200 / UZR_200 / range_runs	[]	data/pennant.db:bm_fld/bm_player/v_bm_by_player	"{""bm_fld_rows"": 14488, ""bm_player_rows"": 10431}"	"[""SR-052"", ""SR-055"", ""SR-057""]"	"[""SP-101"", ""MB-15""]"	structured defensive context	range metrics include positioning, reaction, fielding and opportunity	not pure straight-line running speed	keep fielding context separate and use removal audit	DEFENSE_CONTEXT_NOT_BASE_SPEED	IMPLEMENTED_INCOMPLETE	"[""data/pennant.db""]"	False
42	SP103-EV-042	defensive_context	Statcast Outfielder Jump Burst for MLB-experienced outfielders	defensive_burst_context	SOURCE_CONFIRMED_NEW	official MLB Jump glossary/leaderboard	Statcast Outfielder Jump Burst for MLB-experienced outfielders	[]	no local eligible Jump Burst row set	"{""local_rows"": 0, ""source_surface"": ""verified""}"	"[""SR-052"", ""SR-055""]"	"[""SP-101"", ""MB-15""]"	defensive burst context	duplicates candidate 5 at source-event level but role-specific universe row is retained	reaction, route and position confound base running speed	collect separately with position/eligibility; never merge with universal sprint speed	NOT_COLLECTED_EXTERNAL_OPPORTUNITY	SOURCE_CONFIRMED_NEW	"[""https://www.mlb.com/glossary/statcast/jump"", ""https://baseballsavant.mlb.com/leaderboard/outfield_jump""]"	False
43	SP103-EV-043	defensive_context	NPB tracking-derived fielder movement / straight-line speed separated from reaction/route/positioning	defensive_straight_line_speed	MEASURED_NEGATIVE	repo-wide SQLite/schema/source scan and SP-062 bounded result	NPB tracking-derived fielder movement / straight-line speed separated from reaction/route/positioning	[]	outputs/derived/sp062_defensive_chase_close_20260814.json;data/pennant.db	"{""separated_rows"": 0, ""sp062_items"": 4}"	"[""SR-047"", ""SR-052"", ""SR-055"", ""SR-058""]"	"[""SP-062"", ""SP-101""]"	bounded negative finding	any future movement feed may overlap Jump and range events	current assets do not separate physical displacement from route/reaction/positioning	reopen only with separable official tracking fields	MEASURED_NEGATIVE_BOUNDED_LOCAL_UNIVERSE	MEASURED_NEGATIVE	"[""outputs/derived/sp062_defensive_chase_close_20260814.json"", ""data/pennant.db""]"	False
44	SP103-EV-044	inference_method	normalized L2 analog matching	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	normalized L2 analog matching	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-01_COMMON_METRIC_NEIGHBORHOOD_BRIDGE	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-01_COMMON_METRIC_NEIGHBORHOOD_BRIDGE""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	retain bounded diagnostic and rerun independent QA before SP-079	retain bounded diagnostic and rerun independent QA before SP-079	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
45	SP103-EV-045	inference_method	mutual kNN	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	mutual kNN	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-01_COMMON_METRIC_NEIGHBORHOOD_BRIDGE	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-01_COMMON_METRIC_NEIGHBORHOOD_BRIDGE""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	retain bounded diagnostic and rerun independent QA before SP-079	retain bounded diagnostic and rerun independent QA before SP-079	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
46	SP103-EV-046	inference_method	covariance-aware Mahalanobis matching	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	covariance-aware Mahalanobis matching	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-01_COMMON_METRIC_NEIGHBORHOOD_BRIDGE	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-01_COMMON_METRIC_NEIGHBORHOOD_BRIDGE""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	retain bounded diagnostic and rerun independent QA before SP-079	retain bounded diagnostic and rerun independent QA before SP-079	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
47	SP103-EV-047	inference_method	optimal-transport distribution matching	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	optimal-transport distribution matching	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-01_COMMON_METRIC_NEIGHBORHOOD_BRIDGE	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-01_COMMON_METRIC_NEIGHBORHOOD_BRIDGE""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	retain bounded diagnostic and rerun independent QA before SP-079	retain bounded diagnostic and rerun independent QA before SP-079	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
48	SP103-EV-048	inference_method	shared-indicator prediction with player-clustered holdout	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	shared-indicator prediction with player-clustered holdout	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-02_DUAL_SHARED_INDICATOR_BEHAVIOR_MODELS	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-02_DUAL_SHARED_INDICATOR_BEHAVIOR_MODELS""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	retain bounded diagnostic and rerun independent QA before SP-079	retain bounded diagnostic and rerun independent QA before SP-079	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
49	SP103-EV-049	inference_method	multi-trait latent measurement model	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	multi-trait latent measurement model	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-03_MULTI_TRAIT_LATENT_MEASUREMENT_MODEL	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-03_MULTI_TRAIT_LATENT_MEASUREMENT_MODEL""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	retain bounded diagnostic and rerun independent QA before SP-079	retain bounded diagnostic and rerun independent QA before SP-079	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
50	SP103-EV-050	inference_method	within-player temporal delta	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	within-player temporal delta	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-04_WITHIN_PLAYER_TEMPORAL_DELTA	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-04_WITHIN_PLAYER_TEMPORAL_DELTA""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	retain bounded diagnostic and rerun independent QA before SP-079	retain bounded diagnostic and rerun independent QA before SP-079	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
51	SP103-EV-051	inference_method	league-transition fixed-effects model	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	league-transition fixed-effects model	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-05_LEAGUE_TRANSITION_FIXED_EFFECTS	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-05_LEAGUE_TRANSITION_FIXED_EFFECTS""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	retain bounded diagnostic and rerun independent QA before SP-079	retain bounded diagnostic and rerun independent QA before SP-079	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
52	SP103-EV-052	inference_method	returnee synthetic controls	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	returnee synthetic controls	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-10_RETURNEE_SYNTHETIC_CONTROL	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-10_RETURNEE_SYNTHETIC_CONTROL""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	retain bounded diagnostic and rerun independent QA before SP-079	retain bounded diagnostic and rerun independent QA before SP-079	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
53	SP103-EV-053	inference_method	pairwise/ordinal constraint graph	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	pairwise/ordinal constraint graph	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-07_PAIRWISE_ORDINAL_EVIDENCE_GRAPH	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-07_PAIRWISE_ORDINAL_EVIDENCE_GRAPH""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	retain bounded diagnostic and rerun independent QA before SP-079	retain bounded diagnostic and rerun independent QA before SP-079	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
54	SP103-EV-054	inference_method	independent-lane consensus/conflict synthesis	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	independent-lane consensus/conflict synthesis	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-16_CROSS_SOURCE_CONSENSUS_AND_DISAGREEMENT	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-16_CROSS_SOURCE_CONSENSUS_AND_DISAGREEMENT""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	retain bounded diagnostic and rerun independent QA before SP-079	retain bounded diagnostic and rerun independent QA before SP-079	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
55	SP103-EV-055	inference_method	route-removal ablation	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	route-removal ablation	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-18_DECISION_USE_AND_ABLATION_RECEIPT	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-18_DECISION_USE_AND_ABLATION_RECEIPT""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	retain bounded diagnostic and rerun independent QA before SP-079	retain bounded diagnostic and rerun independent QA before SP-079	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
56	SP103-EV-056	inference_method	leakage-safe anchor calibration	latent physical speed percentile/range, not PowerPro label and not final 0-100	NOT_COLLECTED	SP-101 route receipt / SP-103 transfer audit	leakage-safe anchor calibration	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-01_COMMON_METRIC_NEIGHBORHOOD_BRIDGE	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-01_COMMON_METRIC_NEIGHBORHOOD_BRIDGE""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	design and independently validate before any final appraisal	design and independently validate before any final appraisal	NOT_COLLECTED	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
57	SP103-EV-057	inference_method	cross-fitted / leave-player-out transfer	latent physical speed percentile/range, not PowerPro label and not final 0-100	IMPLEMENTED_INCOMPLETE	SP-101 route receipt / SP-103 transfer audit	cross-fitted / leave-player-out transfer	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-02_DUAL_SHARED_INDICATOR_BEHAVIOR_MODELS	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-02_DUAL_SHARED_INDICATOR_BEHAVIOR_MODELS""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	design and independently validate before any final appraisal	design and independently validate before any final appraisal	IMPLEMENTED_INCOMPLETE	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
58	SP103-EV-058	inference_method	hierarchical partial pooling or interval transfer	latent physical speed percentile/range, not PowerPro label and not final 0-100	NOT_COLLECTED	SP-101 route receipt / SP-103 transfer audit	hierarchical partial pooling or interval transfer	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-03_MULTI_TRAIT_LATENT_MEASUREMENT_MODEL	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-03_MULTI_TRAIT_LATENT_MEASUREMENT_MODEL""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	design and independently validate before any final appraisal	design and independently validate before any final appraisal	NOT_COLLECTED	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
59	SP103-EV-059	inference_method	physical-rich-only rank/quantile mapping	latent physical speed percentile/range, not PowerPro label and not final 0-100	NOT_COLLECTED	SP-101 route receipt / SP-103 transfer audit	physical-rich-only rank/quantile mapping	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-08_DISTRIBUTION_AND_TAIL_CALIBRATION	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-08_DISTRIBUTION_AND_TAIL_CALIBRATION""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	design and independently validate before any final appraisal	design and independently validate before any final appraisal	NOT_COLLECTED	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
60	SP103-EV-060	inference_method	multiple-imputation / interval propagation	latent physical speed percentile/range, not PowerPro label and not final 0-100	NOT_COLLECTED	SP-101 route receipt / SP-103 transfer audit	multiple-imputation / interval propagation	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-03_MULTI_TRAIT_LATENT_MEASUREMENT_MODEL	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-03_MULTI_TRAIT_LATENT_MEASUREMENT_MODEL""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	design and independently validate before any final appraisal	design and independently validate before any final appraisal	NOT_COLLECTED	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
61	SP103-EV-061	inference_method	handedness/protocol-aware H2F calibration	latent physical speed percentile/range, not PowerPro label and not final 0-100	SOURCE_CONFIRMED_NEW	SP-101 route receipt / SP-103 transfer audit	handedness/protocol-aware H2F calibration	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-12_SCOUTING_GRADE_AND_TIMED_TEST_BRIDGE	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-12_SCOUTING_GRADE_AND_TIMED_TEST_BRIDGE""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	design and independently validate before any final appraisal	design and independently validate before any final appraisal	SOURCE_CONFIRMED_NEW	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
62	SP103-EV-062	inference_method	MLB 5-foot acceleration-shape features	latent physical speed percentile/range, not PowerPro label and not final 0-100	SOURCE_CONFIRMED_NEW	SP-101 route receipt / SP-103 transfer audit	MLB 5-foot acceleration-shape features	"[""outputs/derived/sp101_current100_multibridge_evidence.json"", ""outputs/derived/sp101_route_ablation_qa.json""]"	MB-12_SCOUTING_GRADE_AND_TIMED_TEST_BRIDGE	"{""current100"": 100, ""route_receipt_count"": 100}"	"[""SR-011"", ""SR-043"", ""SR-055"", ""SR-058""]"	"[""MB-12_SCOUTING_GRADE_AND_TIMED_TEST_BRIDGE""]"	explicit transfer/inference method with uncertainty and leakage guard	method may reuse source families; route-level ablation and independent-lane consensus are required	common-support, time, league and missingness confounding recorded in method fields	design and independently validate before any final appraisal	design and independently validate before any final appraisal	SOURCE_CONFIRMED_NEW	SP-101 preliminary evidence/decision-use only; no SP-079 final value	False
63	SP103-EV-063	scale_engine	provisional relative-to-display scale	display_scale	IMPLEMENTED_INCOMPLETE	existing scale audit and SP-099 repair	provisional relative-to-display scale	[]	configs/ratings.json;docs/audits/sp099_scale_architecture_verdict_20260814.md	"{""status"": ""provisional""}"	"[""SR-034"", ""SR-035"", ""SR-050""]"	"[""SP-099""]"	calibration only; not player evidence	display scale can be mixed with physical units if applied at wrong layer	PowerPro-derived scale and uncalibrated z-scale remain separate risks	rerun scale QA after construct freeze; keep source and transform explicit	NOT_READY_FOR_FINAL_SCALE	IMPLEMENTED_INCOMPLETE	"[""configs/ratings.json"", ""docs/audits/sp099_scale_architecture_verdict_20260814.md""]"	False
64	SP103-EV-064	scale_engine	ability-value → custom-engine movement-response bridge	engine_response	NOT_COLLECTED	task/spec requirement; implementation not run in SP-103	ability-value → custom-engine movement-response bridge	[]	no new SP-103 engine output	"{""new_runs"": 0}"	"[""SR-036"", ""SR-044"", ""SR-050""]"	"[""SP-079""]"	calibration only	engine response is downstream of evidence and cannot validate physical truth by itself	no SP-103 run permitted to become final numeric generation	run only after owner/gate scope explicitly allows it	GATE_BLOCKED_PRE_SP079	NOT_COLLECTED	"[""docs/tasks/SP103_SPEED_EVIDENCE_UNIVERSE_COMPLETENESS_20260823.md""]"	False
65	SP103-EV-065	scale_engine	league-distribution simulation QA	league_distribution_calibration	NOT_COLLECTED	task/spec requirement; no SP-103 simulation run	league-distribution simulation QA	[]	no new SP-103 simulation output	"{""new_runs"": 0}"	"[""SR-036"", ""SR-044"", ""SR-050""]"	"[""SP-079""]"	calibration only	league distribution can conceal systematic source/scale mismatch	simulation is downstream and must not be mistaken for evidence discovery	run as a separate post-gate QA with frozen evidence and scale manifest	GATE_BLOCKED_PRE_SP079	NOT_COLLECTED	"[""docs/tasks/SP103_SPEED_EVIDENCE_UNIVERSE_COMPLETENESS_20260823.md""]"	False
66	SP103-EV-066	scale_engine	current-100 vs non-100 full-roster scale consistency	population_scale_consistency	NOT_COLLECTED	task/spec requirement; no SP-103 final scale run	current-100 vs non-100 full-roster scale consistency	[]	no new SP-103 full-roster scale output	"{""new_runs"": 0}"	"[""SR-037"", ""SR-050""]"	"[""SP-079""]"	calibration only	100-player-only normalization can create a separate scale	no final 0-100 or shoulder work is permitted in this task	run after evidence universe lock with all-roster denominator	GATE_BLOCKED_PRE_SP079	NOT_COLLECTED	"[""docs/tasks/SP103_SPEED_EVIDENCE_UNIVERSE_COMPLETENESS_20260823.md""]"	False
67	SP103-DISC-001	external_discovery	World Baseball Classic Statcast as an NPB-player bridge	cross_league_event_tracking_opportunity	SOURCE_CONFIRMED_NEW	official MLB Baseball Savant / MLB WBC article	WBC Statcast search and full-tracking scope	"[""https://baseballsavant.mlb.com/statcast-search-world-baseball-classic"", ""https://www.mlb.com/world-baseball-classic/news/world-baseball-classic-follow-ups-to-watch-in-2026""]"	outputs/derived/sp103_external_source_verification.json	"{""2023_JPN_unique_player_ids"": 15, ""2026_JPN_unique_player_ids"": 30, ""running_rows_retrieved"": {""2023"": 0, ""2026"": 0}}"	"[""SR-047"", ""SR-052"", ""SR-058""]"	"[""SP-101""]"	potential bridge; acquisition limitation only	same tournament play may be represented in multiple Statcast surfaces	public selector lower bound and no running result column; zero rows cannot imply slow	re-run official query when running metrics are exposed; preserve tournament/season denominator	bounded external re-open; no numeric promotion	SOURCE_CONFIRMED_NEW	BLOCKED_EXTERNAL_PUBLIC_SURFACE	False
