player,player_id,team,gpt_codex_rating,gpt_codex_low,gpt_codex_high,gpt_codex_confidence,gpt_codex_decision_class,gpt_codex_short_rationale,existing_production_model_rating,existing_production_model_basis,existing_production_model_status,npb_plus_sprint_kmh,exposure_games,exposure_pa,direct_t90_summary,standardized_30m_50m_summary,home_to_first_summary,historical_physical_summary,physical_evidence_strength,sns_physical_classification,sns_physical_summary,video_classification,powerpro_current_speed,powerpro_match_status,powerpro_history_summary,powerpro_change_points,powerpro_years_since_material_change,project_minus_powerpro,abs_project_powerpro_diff,large_diff_ge_5,discrepancy_direction,discrepancy_reason_class,discrepancy_reason_explanation_ja,discrepancy_reason_confidence,powerpro_stale_suspected,powerpro_stale_reason,project_top_speed_overweight_suspected,project_acceleration_missing_suspected,historical_evidence_conflict,current_exposure_risk,owner_review_required,owner_review_reasons,owner_verdict,owner_note,owner_preferred_rating_optional
郡司 裕也,21925151,北海道日本ハムファイターズ,75,68,82,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,60.5,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2023,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,32.7,79,284,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,61,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2020:61,1,6,14,14,true,PROJECT_HIGHER,POWERPRO_STALE_LOW_SUSPECTED,PowerProが低いまま据え置かれている疑い,LOW,true,最後の変更が2020年（6年前）で、以降4年分の観測がありながら動いていない／現在の査定と14点乖離,true,false,false,false,true,PowerProとの差+14／PowerPro据え置きの疑い,,,
野村 佑希,31435138,北海道日本ハムファイターズ,66,59,73,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,57.3,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.7,84,302,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,52,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2019:45 → 2020:50 → 2022:52,3,4,14,14,true,PROJECT_HIGHER,POWERPRO_STALE_LOW_SUSPECTED,PowerProが低いまま据え置かれている疑い,LOW,true,最後の変更が2022年（4年前）で、以降4年分の観測がありながら動いていない／現在の査定と14点乖離,true,false,false,false,true,PowerProとの差+14／PowerPro据え置きの疑い,,,
ソト,03505133,千葉ロッテマリーンズ,52,45,59,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 30.1km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,42.7,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,30.1,88,302,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,40,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,履歴なし,0,,12,12,true,PROJECT_HIGHER,NO_CLEAR_CAUSE,利用可能な証拠（身体計測・SNS・出場量・PowerPro推移）のいずれもこの差の向きを支持していない,NONE,false,,true,false,false,false,true,PowerProとの差+12,,,
ポランコ,63065155,千葉ロッテマリーンズ,61,54,68,LOW_MEDIUM,AFFIRMED_CURRENT_ORDINAL_WITH_HISTORICAL_DIRECT_CONTEXT,2026 NPB+ 31.1km/hの同一100人内順位を現行中心として明示affirm。公式直接T90（2021年）は歴史文脈のみで、現行点を自動補正しない。動画はusable current full-effort play=0で、数値入力にしていない。,59.1,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.1,52,149,"T90FT_SECONDS=3.99seconds(2021/Statcast official CSV) , T90FT_SECONDS=3.99seconds(2021/Statcast official leaderboard)",,,計測9件,STANDARDIZED_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,VIDEO_INCONCLUSIVE,63,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,履歴なし,0,,-2,2,false,POWERPRO_HIGHER,TEMPORAL_CHANGE_NOT_CAPTURED,過去の直接計測が文脈扱いに留まり、現在への持ち越しが決まっていない（HISTORICAL_DIRECT_T90_2021_CONTEXT_ONLY）,,false,,false,false,false,false,false,,,,
佐藤 都志也,71075151,千葉ロッテマリーンズ,63,56,70,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.3km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,61.6,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.3,88,301,,50M_PROFILE_SECONDS=5.9seconds(unknown/unknown),,計測2件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,71,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2020:71,1,6,-8,8,true,POWERPRO_HIGHER,POWERPRO_STALE_HIGH_SUSPECTED|HISTORICAL_PHYSICAL_SUPPORTS_POWERPRO,PowerProが高いまま据え置かれている疑い／過去の身体計測がPowerProの高い評価と同じ向きを示す: 50M_PROFILE_SECONDS=5.9seconds(unknown/unknown),MEDIUM,true,最後の変更が2020年（6年前）で、以降4年分の観測がありながら動いていない／現在の査定と8点乖離,false,true,false,false,true,PowerProとの差-8／PowerPro据え置きの疑い,,,
友杉 篤輝,71275157,千葉ロッテマリーンズ,75,65,85,LOW,UNCHANGED_AFTER_FULL_REAPPRAISAL_CONFLICT_BAND_WIDENED,2026 NPB+ 32.7km/hの同一100人内順位を現行中心として明示affirm。異metricまたはSNS混在は点を平均せず、レンジ拡大で表現。targeted physical / X / videoでは現行方向を追加解決できず、不確実性に反映。動画はusable current full-effort play=0で、数値入力にしていない。,75.9,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を3年プール（2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,32.7,83,270,,"50M_STANDING_START_SECONDS=6.1seconds(2022/electronic_photoelectric) , 50M_PROFILE_SECONDS=6.1seconds(2022/electronic_photoelectric) , 50M_PROFILE_SECONDS=5.9seconds(unknown/unknown)",HP_TO_1B_SECONDS=3.73seconds(unknown/unknown),計測5件,STANDARDIZED_SHORT_DISTANCE,METRIC_CONSTRUCT_CONFLICT,採用6件: faster×6,VIDEO_INCONCLUSIVE,87,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2023:87,1,3,-12,12,true,POWERPRO_HIGHER,METRIC_CONSTRUCT_CONFLICT|HISTORICAL_PHYSICAL_SUPPORTS_POWERPRO|SNS_SUPPORTS_POWERPRO_DIRECTION,"指標の構成が衝突している（HISTORICAL_STANDARDIZED_50M_AND_CURRENT_NPB_PLUS_CONFLICT）／過去の身体計測がPowerProの高い評価と同じ向きを示す: 50M_STANDING_START_SECONDS=6.1seconds(2022/electronic_photoelectric) , 50M_PROFILE_SECONDS=6.1seconds(2022/electronic_photoelectric) , 50M_PROFILE_SECONDS=5.9seconds(unknown/unknown)／SNSで「速い」方向の独立投稿が6件",MEDIUM,false,,false,true,true,false,true,PowerProとの差-12／project側のconfidenceがLOW／証拠の衝突あり,,,
安田 尚憲,81885136,千葉ロッテマリーンズ,48,41,55,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 29.6km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,47.1,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,29.6,42,129,,50M_PROFILE_SECONDS=6.7seconds(unknown/unknown),,計測2件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,46,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2018:46,1,8,2,2,false,PROJECT_HIGHER,,,,false,,false,false,false,false,false,,,,
小川 龍成,11715153,千葉ロッテマリーンズ,82,75,89,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.4km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,75.2,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を2年プール（2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,33.4,96,346,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,86,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2021:73 → 2024:86,2,2,-4,4,false,POWERPRO_HIGHER,,,,false,,false,false,false,false,false,,,,
山口 航輝,91895138,千葉ロッテマリーンズ,68,61,75,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.9km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,52,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.9,67,243,,50M_PROFILE_SECONDS=6.3seconds(unknown/unknown),,計測2件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,52,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2019:52,1,7,16,16,true,PROJECT_HIGHER,POWERPRO_STALE_LOW_SUSPECTED,PowerProが低いまま据え置かれている疑い,LOW,true,最後の変更が2019年（7年前）で、以降4年分の観測がありながら動いていない／現在の査定と16点乖離,true,false,false,false,true,PowerProとの差+16／PowerPro据え置きの疑い,,,
岡 大海,11515139,千葉ロッテマリーンズ,75,70,80,MEDIUM,AFFIRMED_CURRENT_ORDINAL_WITH_SNS_SUPPORT,2026 NPB+ 32.6km/hの同一100人内順位を現行中心として明示affirm。独立SNSは現行bandの支持にのみ用い、点数加算はしない。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,75.3,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,32.6,26,50,,50M_PROFILE_SECONDS=6.1seconds(unknown/unknown),,計測2件,HISTORICAL_SHORT_DISTANCE,SUPPORTS_CURRENT_ORDINAL,採用8件: faster×8,NOT_IN_VIDEO_TIEBREAK_SCOPE,82,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2018:85 → 2023:82,2,3,-7,7,true,POWERPRO_HIGHER,LOW_EXPOSURE_NPBPLUS_RISK|HISTORICAL_PHYSICAL_SUPPORTS_POWERPRO|SNS_SUPPORTS_POWERPRO_DIRECTION,2026年の出場が26試合と少なく、NPB+が最高速度を観測しきれていない可能性／過去の身体計測がPowerProの高い評価と同じ向きを示す: 50M_PROFILE_SECONDS=6.1seconds(unknown/unknown)／SNSで「速い」方向の独立投稿が8件,MEDIUM,false,,false,true,false,true,true,PowerProとの差-7,,,
藤原 恭大,31635138,千葉ロッテマリーンズ,78,71,85,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.0km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,84.2,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,33,63,278,,50M_PROFILE_SECONDS=5.7seconds(unknown/unknown),"HP_TO_1B_SECONDS=3.9seconds(2023/reported_hp_to_1b_unspecified_origin) , HP_TO_1B_SECONDS=3.9seconds(2023/reported_hp_to_1b_unspecified_origin)",計測4件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,85,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2019:85,1,7,-7,7,true,POWERPRO_HIGHER,HISTORICAL_PHYSICAL_SUPPORTS_POWERPRO,過去の身体計測がPowerProの高い評価と同じ向きを示す: 50M_PROFILE_SECONDS=5.7seconds(unknown/unknown),LOW,false,,false,true,false,false,true,PowerProとの差-7,,,
藤岡 裕大,41645136,千葉ロッテマリーンズ,58,48,68,LOW,UNCHANGED_AFTER_FULL_REAPPRAISAL_TEMPORAL_CONSTRAINT,2026 NPB+ 30.8km/hの同一100人内順位を現行中心として明示affirm。SNSの時間変化は旧証拠のcarry-forwardを抑える制約としてのみ使用。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,53.9,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を3年プール（2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,30.8,9,26,,,,計測1件,NONE,TEMPORAL_CHANGE_SUPPORTED,採用6件: slower×4 / current×2,NOT_IN_VIDEO_TIEBREAK_SCOPE,65,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2018:67 → 2024:65,2,2,-7,7,true,POWERPRO_HIGHER,LOW_EXPOSURE_NPBPLUS_RISK,2026年の出場が9試合と少なく、NPB+が最高速度を観測しきれていない可能性,LOW,false,,false,true,false,true,true,PowerProとの差-7／project側のconfidenceがLOW,,,
髙部 瑛斗,11215151,千葉ロッテマリーンズ,83,76,90,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.6km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,93.7,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を3年プール（2022,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,33.6,44,130,,50M_PROFILE_SECONDS=5.8seconds(unknown/unknown),,計測2件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,90,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2020:80 → 2022:90,2,4,-7,7,true,POWERPRO_HIGHER,HISTORICAL_PHYSICAL_SUPPORTS_POWERPRO,過去の身体計測がPowerProの高い評価と同じ向きを示す: 50M_PROFILE_SECONDS=5.8seconds(unknown/unknown),LOW,false,,false,true,false,false,true,PowerProとの差-7,,,
古賀 悠斗,81785155,埼玉西武ライオンズ,57,50,64,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 30.6km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,53.6,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を3年プール（2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,30.6,76,193,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,47,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2022:35 → 2023:47,2,3,10,10,true,PROJECT_HIGHER,NO_CLEAR_CAUSE,利用可能な証拠（身体計測・SNS・出場量・PowerPro推移）のいずれもこの差の向きを支持していない,NONE,false,,true,false,false,false,true,PowerProとの差+10,,,
外崎 修汰,41245130,埼玉西武ライオンズ,72,65,79,LOW_MEDIUM,AFFIRMED_CURRENT_ORDINAL_WITH_UNRESOLVED_TARGETED_GAP,2026 NPB+ 32.3km/hの同一100人内順位を現行中心として明示affirm。targeted physical / X / videoでは現行方向を追加解決できず、不確実性に反映。動画はusable current full-effort play=0で、数値入力にしていない。,61.4,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,32.3,23,69,,,"HP_TO_1B_SECONDS=4.13seconds(2024/reported_hp_to_1b_unspecified_origin) , HP_TO_1B_SECONDS=4.13seconds(2024/reported_hp_to_1b_unspecified_origin)",計測3件,NONE,INSUFFICIENT_SNS_EVIDENCE,採用3件: current×2 / mixed×1,VIDEO_INCONCLUSIVE,68,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2016:70 → 2020:74 → 2024:70 → 2025:68,4,1,4,4,false,PROJECT_HIGHER,LOW_EXPOSURE_NPBPLUS_RISK,2026年の出場が23試合と少なく、NPB+が最高速度を観測しきれていない可能性,,false,,false,false,false,true,false,,,,
源田 壮亮,71775134,埼玉西武ライオンズ,77,70,84,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.9km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,89.9,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,32.9,81,209,,,"HP_TO_1B_SECONDS=3.85seconds(2021/contact_to_1b) , HP_TO_1B_SECONDS=3.84seconds(2021/contact_to_1b) , HP_TO_1B_SECONDS=3.8seconds(2021/contact_to_1b)",計測11件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,80,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2017:86 → 2024:80,2,2,-3,3,false,POWERPRO_HIGHER,,,,false,,false,false,false,false,false,,,,
滝澤 夏央,51255155,埼玉西武ライオンズ,78,71,85,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.0km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,87.5,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を2年プール（2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,33,93,363,,50M_PROFILE_SECONDS=5.8seconds(unknown/unknown),,計測2件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,85,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2022:81 → 2025:85,2,1,-7,7,true,POWERPRO_HIGHER,HISTORICAL_PHYSICAL_SUPPORTS_POWERPRO,過去の身体計測がPowerProの高い評価と同じ向きを示す: 50M_PROFILE_SECONDS=5.8seconds(unknown/unknown),LOW,false,,false,true,false,false,true,PowerProとの差-7,,,
石井 一成,21125134,埼玉西武ライオンズ,75,68,82,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.6km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,73.4,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,32.6,62,216,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,79,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2017:68 → 2022:79,2,4,-4,4,false,POWERPRO_HIGHER,,,,false,,false,false,false,false,false,,,,
ファビアン,43745150,広島東洋カープ,64,57,71,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.4km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,51.5,実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を1年プール（2025）。NPB+の自動blendなし・較正あり,REPRODUCED,31.4,65,255,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,61,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,履歴なし,0,,3,3,false,PROJECT_HIGHER,,,,false,,false,false,false,false,false,,,,
モンテロ,53955150,広島東洋カープ,52,46,58,MEDIUM,REANCHORED_TO_RECENT_DIRECT_T90,2024年の公式直接90ft計測を現行窓の最優先証拠として採用。2026 NPB+は同一100人内の方向情報に限定し、異指標を平均しない。,46.5,実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を1年プール（2025）。NPB+の自動blendなし・較正あり,REPRODUCED,31.9,86,251,"T90FT_SECONDS=4.2seconds(2024/Statcast official CSV) , T90FT_SECONDS=4.2seconds(2024/Statcast official leaderboard)",,,計測9件,CURRENT_DIRECT_T90,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,49,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,履歴なし,0,,3,3,false,PROJECT_HIGHER,METRIC_CONSTRUCT_CONFLICT,指標の構成が衝突している（DIRECT_T90_AND_NPB_PLUS_NOT_CROSS_METRIC_AVERAGED）,,false,,false,false,true,false,true,証拠の衝突あり,,,
名原 典彦,,広島東洋カープ,84,74,94,LOW,SAME_SCALE_ORDINAL_FALLBACK_FOR_MISSING_BLIND_BASELINE,2026 NPB+ 33.7km/hの同一scale隣接値から点を補間。source player_idはnullのまま保持し、過去50mは現行へ自動転用しない。,,,NAME_UNRESOLVED,33.7,53,222,,"50M_PROFILE_SECONDS=6.2seconds(unknown/manual) , 50M_PROFILE_SECONDS=5.9seconds(unknown/electronic)",,計測3件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,,NO_UNIQUE_EXACT_TEAM_NORMALIZED_ROSTER_NAME_MATCH,履歴なし,0,,,,false,,,,,false,,false,false,false,false,true,project側のconfidenceがLOW,,,
坂倉 将吾,11915134,広島東洋カープ,57,50,64,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 30.6km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,62.4,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,30.6,94,383,,50M_PROFILE_SECONDS=6.4seconds(unknown/unknown),,計測2件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,68,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2017:71 → 2024:68,2,2,-11,11,true,POWERPRO_HIGHER,HISTORICAL_PHYSICAL_SUPPORTS_POWERPRO,過去の身体計測がPowerProの高い評価と同じ向きを示す: 50M_PROFILE_SECONDS=6.4seconds(unknown/unknown),LOW,false,,false,true,false,false,true,PowerProとの差-11,,,
小園 海斗,01705138,広島東洋カープ,65,58,72,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.5km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,78.3,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.5,96,382,,,HP_TO_1B_SECONDS=4.05seconds(2016/unknown),計測4件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,79,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2019:86 → 2023:85 → 2025:79,3,1,-14,14,true,POWERPRO_HIGHER,NO_CLEAR_CAUSE,利用可能な証拠（身体計測・SNS・出場量・PowerPro推移）のいずれもこの差の向きを支持していない,NONE,false,,false,true,false,false,true,PowerProとの差-14,,,
矢野 雅哉,93395153,広島東洋カープ,57,50,64,LOW_MEDIUM,AFFIRMED_CURRENT_ORDINAL_WITH_UNRESOLVED_TARGETED_GAP,2026 NPB+ 30.7km/hの同一100人内順位を現行中心として明示affirm。targeted physical / X / videoでは現行方向を追加解決できず、不確実性に反映。動画はusable current full-effort play=0で、数値入力にしていない。,85.4,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を3年プール（2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,30.7,44,58,,"50M_PROFILE_SECONDS=5.9seconds(unknown/unknown) , 50m=5.9seconds(年不明/scouting_profile_protocol_unspecified)",,計測3件,HISTORICAL_SHORT_DISTANCE,INSUFFICIENT_SNS_EVIDENCE,採用3件: faster×3,VIDEO_INCONCLUSIVE,78,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2021:71 → 2024:78,2,2,-21,21,true,POWERPRO_HIGHER,HISTORICAL_PHYSICAL_SUPPORTS_POWERPRO|SNS_SUPPORTS_POWERPRO_DIRECTION,"過去の身体計測がPowerProの高い評価と同じ向きを示す: 50M_PROFILE_SECONDS=5.9seconds(unknown/unknown) , 50m=5.9seconds(年不明/scouting_profile_protocol_unspecified)／SNSで「速い」方向の独立投稿が3件",MEDIUM,false,,false,true,false,false,true,PowerProとの差-21,,,
