order	player	team	powerpro_current	proposed_verdict	batch	strength	confidence	reason_code	preferred_rating_optional	capture_ready	rationale
66	京田 陽太	横浜DeNAベイスターズ	78	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	LOW_EXPOSURE_PEAK_COUNTERBALANCED_BY_SHORT_DISTANCE_CONTEXT	LOW	CURRENT_PEAK_UNDEREXPOSED_AND_50M_CONTEXT_SUPPORTS_HIGHER_PHYSICAL_PROFILE		false	Current peak is low-middle but based on few runs and may be understated; unknown-date 50m is fast and S/game are near neutral. PP78 is not exactly validated, but the prior TOO_HIGH screen was too peak-dominant.
67	佐野 恵太	横浜DeNAベイスターズ	48	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
68	宮﨑 敏郎	横浜DeNAベイスターズ	33	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
69	山本 祐大	横浜DeNAベイスターズ	61	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
70	度会 隆輝	横浜DeNAベイスターズ	65	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
71	林 琢真	横浜DeNAベイスターズ	82	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
72	梶原 昂希	横浜DeNAベイスターズ	90	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
73	牧 秀悟	横浜DeNAベイスターズ		UNRESOLVED	A_BULK_COMPATIBLE_OR_NO_TARGET	NO_CURRENT_POWERPRO_TARGET	HIGH	NO_CURRENT_POWERPRO_TARGET		false	No current PowerPro comparison target exists. Physical evidence remains available for later SP-079 appraisal, but no PowerPro high/low verdict can be made.
74	筒香 嘉智	横浜DeNAベイスターズ	45	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
75	蝦名 達夫	横浜DeNAベイスターズ	75	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
76	今宮 健太	福岡ソフトバンクホークス	66	POWERPRO_TOO_HIGH_OR_STALE	B_DIRECTIONAL_REVIEW	PEAK_AND_CONTEXT_SUPPORTED_HIGH_CONCERN	MEDIUM	CURRENT_PEAK_S_AND_GAME_CONTEXT_ALL_LEAN_BELOW_PP66		false	Current peak is low and underexposed, while both S and game context also lean low. Absence of nonpeak direct evidence prevents a strong verdict, but multiple retained signals support a medium-confidence PP66-high concern.
77	周東 佑京	福岡ソフトバンクホークス	96	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	HIGH	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
78	山川 穂高	福岡ソフトバンクホークス	47	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
79	柳田 悠岐	福岡ソフトバンクホークス	67	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
80	柳町 達	福岡ソフトバンクホークス	67	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
81	栗原 陵矢	福岡ソフトバンクホークス	59	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
82	正木 智也	福岡ソフトバンクホークス	48	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
83	海野 隆司	福岡ソフトバンクホークス	52	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
84	牧原 大成	福岡ソフトバンクホークス	82	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
85	近藤 健介	福岡ソフトバンクホークス	64	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
86	丸 佳浩	読売ジャイアンツ		UNRESOLVED	A_BULK_COMPATIBLE_OR_NO_TARGET	NO_CURRENT_POWERPRO_TARGET	HIGH	NO_CURRENT_POWERPRO_TARGET		false	No current PowerPro comparison target exists. Physical evidence remains available for later SP-079 appraisal, but no PowerPro high/low verdict can be made.
87	佐々木 俊輔	読売ジャイアンツ	76	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
88	吉川 尚輝	読売ジャイアンツ	80	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
89	大城 卓三	読売ジャイアンツ	24	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
90	岸田 行倫	読売ジャイアンツ	55	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
91	松本 剛	読売ジャイアンツ	69	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
92	中野 拓夢	阪神タイガース	75	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
93	伏見 寅威	阪神タイガース	40	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
94	佐藤 輝明	阪神タイガース	68	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
95	坂本 誠志郎	阪神タイガース	56	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
96	大山 悠輔	阪神タイガース	58	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
97	小幡 竜平	阪神タイガース	77	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
98	木浪 聖也	阪神タイガース	59	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
99	梅野 隆太郎	阪神タイガース	57	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
100	森下 翔太	阪神タイガース	60	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
